bug_id,defective_method,fixed_method,class_name,class_constructor
Compress_462,"@Override
    public void write(final byte[] data, int off, int len) throws IOException {
        if (params.withContentChecksum) {
            contentHash.update(data, off, len);
        }
        final int blockDataLength = blockData.length;
        while (len > 0) {
            int copyLen = Math.min(len, blockDataLength);
            System.arraycopy(data, off, blockData, 0, copyLen);
            off += blockDataLength;
            len -= copyLen;
            flushBlock(copyLen);
        }
    }","@Override
    public void write(final byte[] data, int off, int len) throws IOException {
        if (params.withContentChecksum) {
            contentHash.update(data, off, len);
        }
        int blockDataRemaining = blockData.length - currentIndex;
        while (len > 0) {
            int copyLen = Math.min(len, blockDataRemaining);
            System.arraycopy(data, off, blockData, currentIndex, copyLen);
            off += copyLen;
            blockDataRemaining -= copyLen;
            len -= copyLen;
            currentIndex += copyLen;
            if (blockDataRemaining == 0) {
                flushBlock();
                blockDataRemaining = blockData.length;
            }
        }
    }",FramedLZ4CompressorOutputStream,"public  FramedLZ4CompressorOutputStream(final OutputStream out);
public  FramedLZ4CompressorOutputStream(final OutputStream out, final Parameters params);
"
Compress_463,"public void finish() throws IOException {
        if (currentIndex > 0) {
            flushBuffer();
        }
    }","public void finish() throws IOException {
        flushBuffer();
    }",FramedSnappyCompressorOutputStream,"public  FramedSnappyCompressorOutputStream(final OutputStream out);
public  FramedSnappyCompressorOutputStream(final OutputStream out, final Parameters params);
"
Compress_463,"private void flushBuffer() throws IOException {
        out.write(FramedSnappyCompressorInputStream.COMPRESSED_CHUNK_TYPE);
        final ByteArrayOutputStream baos = new ByteArrayOutputStream();
        try (OutputStream o = new SnappyCompressorOutputStream(baos, currentIndex, params)) {
            o.write(buffer, 0, currentIndex);
        }
        final byte[] b = baos.toByteArray();
        writeLittleEndian(3, b.length + 4L /* CRC */);
        writeCrc();
        out.write(b);
        currentIndex = 0;
    }","private void flushBuffer() throws IOException {
        if (currentIndex == 0) {
            return;
        }
        out.write(FramedSnappyCompressorInputStream.COMPRESSED_CHUNK_TYPE);
        final ByteArrayOutputStream baos = new ByteArrayOutputStream();
        try (OutputStream o = new SnappyCompressorOutputStream(baos, currentIndex, params)) {
            o.write(buffer, 0, currentIndex);
        }
        final byte[] b = baos.toByteArray();
        writeLittleEndian(3, b.length + 4L /* CRC */);
        writeCrc();
        out.write(b);
        currentIndex = 0;
    }",FramedSnappyCompressorOutputStream,"public  FramedSnappyCompressorOutputStream(final OutputStream out);
public  FramedSnappyCompressorOutputStream(final OutputStream out, final Parameters params);
"
Compress_463,"@Override
    public void write(final byte[] data, int off, int len) throws IOException {
        if (currentIndex + len > MAX_COMPRESSED_BUFFER_SIZE) {
            flushBuffer();
            while (len > MAX_COMPRESSED_BUFFER_SIZE) {
                System.arraycopy(data, off, buffer, 0, MAX_COMPRESSED_BUFFER_SIZE);
                off += MAX_COMPRESSED_BUFFER_SIZE;
                len -= MAX_COMPRESSED_BUFFER_SIZE;
                currentIndex = MAX_COMPRESSED_BUFFER_SIZE;
                flushBuffer();
            }
        }
        System.arraycopy(data, off, buffer, currentIndex, len);
        currentIndex += len;
    }","@Override
    public void write(final byte[] data, int off, int len) throws IOException {
        int blockDataRemaining = buffer.length - currentIndex;
        while (len > 0) {
            final int copyLen = Math.min(len, blockDataRemaining);
            System.arraycopy(data, off, buffer, currentIndex, copyLen);
            off += copyLen;
            blockDataRemaining -= copyLen;
            len -= copyLen;
            currentIndex += copyLen;
            if (blockDataRemaining == 0) {
                flushBuffer();
                blockDataRemaining = buffer.length;
            }
        }
    }",FramedSnappyCompressorOutputStream,"public  FramedSnappyCompressorOutputStream(final OutputStream out);
public  FramedSnappyCompressorOutputStream(final OutputStream out, final Parameters params);
"
Compress_465,"public boolean isFile() {
        if (file != null) {
            return Files.isRegularFile(file, linkOptions);
        }
        if (linkFlag == LF_OLDNORM || linkFlag == LF_NORMAL) {
            return true;
        }
        return !getName().endsWith(""/"");
    }","public boolean isFile() {
        if (file != null) {
            return Files.isRegularFile(file, linkOptions);
        }
        if (linkFlag == LF_OLDNORM || linkFlag == LF_NORMAL) {
            return true;
        }
        return linkFlag != LF_DIR && !getName().endsWith(""/"");
    }",TarArchiveEntry,"private  TarArchiveEntry(final boolean preserveAbsolutePath);
public  TarArchiveEntry(final byte[] headerBuf);
public  TarArchiveEntry(final byte[] headerBuf, final ZipEncoding encoding);
public  TarArchiveEntry(final byte[] headerBuf, final ZipEncoding encoding, final boolean lenient);
public  TarArchiveEntry(final byte[] headerBuf, final ZipEncoding encoding, final boolean lenient, final long dataOffset);
public  TarArchiveEntry(final File file);
public  TarArchiveEntry(final File file, final String fileName);
public  TarArchiveEntry(final Map<String, String> globalPaxHeaders, final byte[] headerBuf, final ZipEncoding encoding, final boolean lenient);
public  TarArchiveEntry(final Map<String, String> globalPaxHeaders, final byte[] headerBuf, final ZipEncoding encoding, final boolean lenient,
            final long dataOffset);
public  TarArchiveEntry(final Path file);
public  TarArchiveEntry(final Path file, final String fileName, final LinkOption... linkOptions);
public  TarArchiveEntry(final String name);
public  TarArchiveEntry(String name, final boolean preserveAbsolutePath);
public  TarArchiveEntry(final String name, final byte linkFlag);
public  TarArchiveEntry(final String name, final byte linkFlag, final boolean preserveAbsolutePath);
"
Compress_467,"public ZipArchiveOutputStream(final OutputStream out) {
        this.outputStream = out;
        this.channel = null;
        def = new Deflater(level, true);
        streamCompressor = StreamCompressor.create(out, def);
        isSplitZip = false;
    }","public ZipArchiveOutputStream(final OutputStream out) {
        this.outputStream = out;
        def = new Deflater(level, true);
        streamCompressor = StreamCompressor.create(out, def);
        isSplitZip = false;
    }",ZipArchiveOutputStream,"public  ZipArchiveOutputStream(final File file);
public  ZipArchiveOutputStream(final File file, final long zipSplitSize);
public  ZipArchiveOutputStream(final OutputStream out);
public  ZipArchiveOutputStream(final Path path, final long zipSplitSize);
public  ZipArchiveOutputStream(final Path file, final OpenOption... options);
public  ZipArchiveOutputStream(final SeekableByteChannel channel);
"
Compress_467,"public ZipArchiveOutputStream(final Path path, final long zipSplitSize) throws IOException {
        def = new Deflater(level, true);
        this.outputStream = new ZipSplitOutputStream(path, zipSplitSize);
        streamCompressor = StreamCompressor.create(this.outputStream, def);
        channel = null;
        isSplitZip = true;
    }","public ZipArchiveOutputStream(final Path path, final long zipSplitSize) throws IOException {
        def = new Deflater(level, true);
        this.outputStream = new ZipSplitOutputStream(path, zipSplitSize);
        streamCompressor = StreamCompressor.create(this.outputStream, def);
        isSplitZip = true;
    }",ZipArchiveOutputStream,"public  ZipArchiveOutputStream(final File file);
public  ZipArchiveOutputStream(final File file, final long zipSplitSize);
public  ZipArchiveOutputStream(final OutputStream out);
public  ZipArchiveOutputStream(final Path path, final long zipSplitSize);
public  ZipArchiveOutputStream(final Path file, final OpenOption... options);
public  ZipArchiveOutputStream(final SeekableByteChannel channel);
"
Compress_467,"public ZipArchiveOutputStream(final Path file, final OpenOption... options) throws IOException {
        def = new Deflater(level, true);
        OutputStream outputStream = null;
        SeekableByteChannel channel = null;
        StreamCompressor streamCompressor;
        try {
            channel = Files.newByteChannel(file,
                    EnumSet.of(StandardOpenOption.CREATE, StandardOpenOption.WRITE, StandardOpenOption.READ, StandardOpenOption.TRUNCATE_EXISTING));
            // will never get opened properly when an exception is thrown so doesn't need to get closed
            streamCompressor = StreamCompressor.create(channel, def); // NOSONAR
        } catch (final IOException e) { // NOSONAR
            final Closeable c = channel;
            org.apache.commons.io.IOUtils.closeQuietly(c);
            channel = null;
            outputStream = Files.newOutputStream(file, options);
            streamCompressor = StreamCompressor.create(outputStream, def);
        }
        this.outputStream = outputStream;
        this.channel = channel;
        this.streamCompressor = streamCompressor;
        this.isSplitZip = false;
    }","public ZipArchiveOutputStream(final Path file, final OpenOption... options) throws IOException {
        def = new Deflater(level, true);
        this.outputStream = options.length == 0 ? new FileRandomAccessOutputStream(file) : new FileRandomAccessOutputStream(file, options);
        this.streamCompressor = StreamCompressor.create(outputStream, def);
        this.isSplitZip = false;
    }",ZipArchiveOutputStream,"public  ZipArchiveOutputStream(final File file);
public  ZipArchiveOutputStream(final File file, final long zipSplitSize);
public  ZipArchiveOutputStream(final OutputStream out);
public  ZipArchiveOutputStream(final Path path, final long zipSplitSize);
public  ZipArchiveOutputStream(final Path file, final OpenOption... options);
public  ZipArchiveOutputStream(final SeekableByteChannel channel);
"
Compress_467,"public ZipArchiveOutputStream(final SeekableByteChannel channel) {
        this.channel = channel;
        def = new Deflater(level, true);
        streamCompressor = StreamCompressor.create(channel, def);
        outputStream = null;
        isSplitZip = false;
    }","public ZipArchiveOutputStream(final SeekableByteChannel channel) {
        this.outputStream = new SeekableChannelRandomAccessOutputStream(channel);
        def = new Deflater(level, true);
        streamCompressor = StreamCompressor.create(outputStream, def);
        isSplitZip = false;
    }",ZipArchiveOutputStream,"public  ZipArchiveOutputStream(final File file);
public  ZipArchiveOutputStream(final File file, final long zipSplitSize);
public  ZipArchiveOutputStream(final OutputStream out);
public  ZipArchiveOutputStream(final Path path, final long zipSplitSize);
public  ZipArchiveOutputStream(final Path file, final OpenOption... options);
public  ZipArchiveOutputStream(final SeekableByteChannel channel);
"
Compress_467,"private void closeEntry(final boolean actuallyNeedsZip64, final boolean phased) throws IOException {
        if (!phased && channel != null) {
            rewriteSizesAndCrc(actuallyNeedsZip64);
        }

        if (!phased) {
            writeDataDescriptor(entry.entry);
        }
        entry = null;
    }","private void closeEntry(final boolean actuallyNeedsZip64, final boolean phased) throws IOException {
        if (!phased && outputStream instanceof RandomAccessOutputStream) {
            rewriteSizesAndCrc(actuallyNeedsZip64);
        }

        if (!phased) {
            writeDataDescriptor(entry.entry);
        }
        entry = null;
    }",ZipArchiveOutputStream,"public  ZipArchiveOutputStream(final File file);
public  ZipArchiveOutputStream(final File file, final long zipSplitSize);
public  ZipArchiveOutputStream(final OutputStream out);
public  ZipArchiveOutputStream(final Path path, final long zipSplitSize);
public  ZipArchiveOutputStream(final Path file, final OpenOption... options);
public  ZipArchiveOutputStream(final SeekableByteChannel channel);
"
